Depenses de sante en % du PIB,PIB par habitant,Part des +65 ans,Practiciens pour 1000 habitants,Lits d hopitaux pour 1000 habitants,Taux deces 2 ans,Chomage,Depenses t-1
5.864,33.4,0.134201854880302,2.19,5.68,1.985,9.6,5.781
6.352,38.0,0.1346265172347489,2.16,5.84,2.005,7.1,5.864
6.57,34.4,0.134946080693151,2.17,5.89,2.002,8.2,6.352
6.435,37.8,0.1357045676905654,2.19,5.84,1.983,9.7,6.57
6.245,38.5,0.1361312662958016,2.21,5.85,1.997,9.7,6.435
6.229,39.2,0.1396397132476974,2.23,5.85,2.028,10.4,6.245
6.45,39.1,0.143884793800518,2.24,5.83,2.007,10.6,6.229
6.283,40.1,0.1488784638460412,2.31,5.85,2.029,9.2,6.45
6.365,41.0,0.1541800114056834,2.33,5.86,2.06,7.7,6.283
6.526,39.5,0.1595976412171882,2.42,5.86,2.083,6.3,6.365
6.537,41.7,0.1654769693511415,2.38,5.85,2.152,5.0,6.526
6.251,43.3,0.171088120456637,2.36,6.54,2.17,3.9,6.537
6.389,44.8,0.1766011956133246,3.3,6.17,2.336,3.3,6.251
6.427,46.9,0.1822203712942927,3.36,6.25,2.626,3.2,6.389
6.365,47.4,0.1894025674556528,3.51,6.4,2.611,3.4,6.427
6.466,48.5,0.1935243494800631,3.57,6.29,2.324,2.9,6.365
7.138,52.1,0.198915451751626,3.86,6.27,,2.8,6.466
9.653,68.3,0.1718432934349926,3.36,3.56,1.996,7.7,9.533
9.354,67.7,0.1735766821651623,3.43,3.48,1.955,7.8,9.653
9.252,67.4,0.1754249762736376,3.52,3.44,1.973,8.1,9.354
9.583,66.8,0.177229216269846,3.61,3.39,1.978,7.7,9.252
10.131,68.5,0.1797122487956562,3.72,3.37,1.992,9.6,9.583
10.019,67.8,0.1825696159230089,3.85,3.37,1.975,11.0,10.131
9.718,64.4,0.1869359836507556,3.98,3.37,1.991,12.9,10.019
9.64,61.6,0.1917366783629054,4.09,3.4,2.028,16.6,9.718
9.395,62.1,0.1950937409944069,4.25,3.39,2.013,17.2,9.64
9.336,61.9,0.1998930112833169,4.42,3.31,2.043,14.6,9.395
9.333,62.2,0.2044670764294134,4.6,3.36,2.108,13.0,9.336
9.4,63.2,0.2088054901387407,4.78,3.38,2.125,11.5,9.333
9.327,63.8,0.2132975680358158,4.96,3.38,2.154,9.2,9.4
9.421,64.7,0.217890103978707,5.13,3.43,2.175,7.2,9.327
9.509,65.4,0.2221724380596847,5.29,3.49,2.276,6.6,9.421
10.521,63.4,0.2273149118660061,5.44,3.47,2.392,7.1,9.509
11.22,62.5,0.2320746655593928,5.58,3.49,2.397,6.7,10.521
10.549,64.5,0.2362169045794227,5.7,3.46,2.329,6.2,11.22
10.028,66.6,0.2387557752627959,,,2.25,6.5,10.549
6.616,32.9,0.1168060290152875,3.04,6.79,1.987,16.3,6.495
6.852,36.3,0.1181823020892891,3.17,6.73,1.994,13.4,6.616
7.175,42.3,0.1196412552715524,3.39,6.78,1.992,11.1,6.852
6.96,48.1,0.1210273910429638,3.37,6.59,1.973,9.5,7.175
7.953,48.8,0.1224416389637264,3.3,6.54,1.976,12.0,6.96
7.671,50.4,0.1243766244126143,3.36,6.46,1.954,14.4,7.953
7.315,51.3,0.1258145190512802,3.31,6.05,1.935,13.6,7.671
7.528,52.5,0.1277980845700904,3.36,5.91,1.934,13.9,7.315
7.48,52.5,0.131259199132999,3.39,5.8,1.912,14.1,7.528
6.865,52.6,0.1353661195849518,3.43,5.79,1.942,13.1,7.48
6.741,53.3,0.1396108238004969,3.45,5.75,1.958,11.5,6.865
6.942,52.8,0.14447099028943,3.47,5.78,1.958,9.6,6.741
6.734,52.7,0.1498818013876953,3.42,5.82,1.991,8.1,6.942
6.637,54.1,0.1552152074545481,3.52,5.69,1.975,6.5,6.734
6.911,54.7,0.1604131130420934,3.57,5.77,2.061,5.7,6.637
7.06,56.6,0.1658475746870622,3.67,5.7,2.429,6.7,6.911
7.629,56.3,0.1707072133479346,3.68,5.7,2.437,6.8,7.06
7.702,55.8,0.1738745309779065,3.73,5.68,2.092,6.1,7.629
7.353,59.0,0.1785052733646822,3.82,5.65,,5.8,7.702
8.053,65.4,0.1534268793896645,2.35,4.83,1.852,6.5,8.0
7.867,66.8,0.1561747825401152,2.36,4.77,1.835,6.0,8.053
7.541,70.1,0.158990577389216,2.39,4.68,1.835,4.9,7.867
7.893,73.5,0.162639925303529,2.4,4.74,1.843,4.4,7.541
8.642,72.4,0.1643550706025796,2.41,4.6,1.838,5.9,7.893
8.639,70.1,0.1652510825725363,2.43,4.57,1.823,7.3,8.642
8.601,69.2,0.1653232945840603,2.49,4.62,1.851,8.2,8.639
8.793,67.2,0.1678427007398701,2.54,4.54,1.877,8.9,8.601
8.84,66.7,0.1710420672802541,2.63,4.55,1.856,10.1,8.793
8.585,67.3,0.174716714740052,2.77,4.54,1.879,9.7,8.84
8.597,67.1,0.1790637721935513,2.83,4.51,1.916,9.0,8.585
8.569,68.0,0.1841411731877135,3.01,4.49,1.947,8.0,8.597
8.259,69.6,0.1889863715242062,3.1,4.5,1.984,6.6,8.569
8.352,71.6,0.1941389921040409,3.18,4.43,1.987,5.1,8.259
8.566,72.7,0.1984970022701628,3.26,4.43,2.143,4.4,8.352
9.49,72.8,0.2023054009784046,3.3,4.28,2.256,5.0,8.566
9.527,74.2,0.2066001668107333,3.34,4.25,2.169,4.8,9.49
9.627,74.6,0.2110607541833161,3.37,4.12,2.09,4.0,9.527
9.3,78.7,0.2143193202366399,3.5,4.05,,3.7,9.627
6.335,48.8,0.1406167653133611,3.56,6.37,2.082,7.9,6.333
6.165,52.0,0.1424070068626666,3.57,6.3,2.045,7.2,6.335
5.99,54.5,0.1445307513492233,3.57,6.18,2.044,5.3,6.165
6.339,61.1,0.146240093462299,3.56,6.09,2.053,4.4,5.99
7.265,58.7,0.1492788599187226,3.58,6.03,2.055,6.7,6.339
7.478,60.4,0.1528872630396533,3.63,5.94,2.043,7.3,7.265
7.473,61.3,0.1560990741538045,3.7,5.75,2.051,6.7,7.478
7.54,60.0,0.16195753725806,3.76,5.6,2.069,7.0,7.473
7.448,58.2,0.1680864386834504,3.79,5.4,2.043,7.0,7.54
7.539,56.4,0.1736559397033166,3.83,5.36,2.063,6.1,7.448
7.293,58.4,0.178435844576081,3.86,5.39,2.077,5.1,7.539
7.323,59.8,0.1831003171072376,3.92,5.7,2.077,4.0,7.293
7.242,63.1,0.1880098158395738,3.98,5.71,2.121,2.9,7.323
